!Sample_geo_accession	StrainNumeric	SuceptibilityNumeric	InjuryNumeric	SampleCollectionNumeric_Days	BatchNumeric	SampleTitle	Strain	Suceptibility	!Sample_characteristics_ch1	!Sample_characteristics_ch1	!Sample_characteristics_ch1
GSM3074732	1	-1	-1	0	1	x0D_MRL_rep1	strain: MRL/MpJ	susceptibility to ptoa: not susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074733	1	-1	-1	0	1	x0D_MRL_rep2	strain: MRL/MpJ	susceptibility to ptoa: not susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074734	1	-1	-1	0	1	x0D_MRL_rep3	strain: MRL/MpJ	susceptibility to ptoa: not susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074735	1	-1	-1	0	1	x0D_MRL_rep4	strain: MRL/MpJ	susceptibility to ptoa: not susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074736	2	0	-1	0	1	x0D_BL6_rep1	strain: C57BL/6	susceptibility to ptoa: moderately susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074737	2	0	-1	0	1	x0D_BL6_rep2	strain: C57BL/6	susceptibility to ptoa: moderately susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074738	2	0	-1	0	1	x0D_BL6_rep3	strain: C57BL/6	susceptibility to ptoa: moderately susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074739	2	0	-1	0	1	x0D_BL6_rep4	strain: C57BL/6	susceptibility to ptoa: moderately susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074740	3	1	-1	0	1	x0D_STR_rep1	strain: STR/ort	susceptibility to ptoa: highly susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074741	3	1	-1	0	1	x0D_STR_rep2	strain: STR/ort	susceptibility to ptoa: highly susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
GSM3074742	3	1	-1	0	1	x0D_STR_rep3	strain: STR/ort	susceptibility to ptoa: highly susceptible	treatment: Uninjured	sample collection: 0-day [before injury]	experimental batch: 1
