uniqueIDs	GSM1015207	GSM1015208	GSM1015209	GSM1015210	GSM1015211	GSM1015212	GSM1015213	GSM1015214	GSM1015215	GSM1015216	GSM1015217	GSM1015218	GSM1015219	GSM1015220	GSM1015221	GSM1015222	GSM1015223	GSM1015224	GSM1015225	GSM1015226	GSM1015227	GSM1015228	GSM1015229	GSM1015230	GSM1015231	GSM1015232
1-Mar	8.486725	8.58477	8.304586	8.213667	8.553206	8.420722	8.42064	8.590799	8.466392	8.289976	8.694204	8.657456	8.683278	8.658045	8.473228	8.450381	8.141859	8.209579	8.649834	8.633275	8.501035	8.622354	8.607089	8.51976	8.446469	8.5542755
1-Sep	7.8656774	7.675883	7.754066	7.752217	7.6442513	7.772274	7.7201543	7.799338	7.4293003	7.884589	7.7986317	7.7853312	7.828832	7.8555894	7.9717493	7.4992485	7.7890477	7.72248	7.8278737	7.8690467	7.7337217	7.9224157	7.7816	7.7094817	7.710971	7.776905
10-Mar	8.281326	8.317162	8.364928	8.428281	8.29255	8.32558	8.521394	8.290904	8.243387	8.275331	8.129375	8.314297	8.31462	8.400072	8.432582	8.281835	8.396617	8.299433	8.115117	8.176418	8.233992	8.192603	8.243195	8.212067	8.374054	8.249969
10-Sep	9.690746	9.515142	9.561863	9.540146	9.840889	10.133675	9.543952	9.439137	9.638154	9.347278	9.671479	9.498363	9.206505	9.4156	9.212982	10.251727	10.149237	9.804945	10.300579	10.069428	9.5253935	9.503665	9.333335	9.571329	9.448687	9.446616
11-Mar	7.763415	8.032458	7.9324017	7.919025	7.8970685	7.871332	8.019845	7.9192543	7.9467554	8.037021	8.130376	8.28583	8.520036	8.083215	8.094386	7.6940312	7.460542	7.925865	7.828203	7.9684787	8.100153	7.9203877	7.911994	8.033642	8.10107	8.08834
11-Sep	10.286752	10.23492	10.270569	10.09488	10.318909	10.4957285	9.959178	9.9718685	10.02706	9.87654	10.160381	10.102299	9.924225	10.178362	10.031006	10.569316	10.421118	10.194872	10.322795	10.568259	10.086177	10.153755	10.173416	10.001876	10.084504	10.026338
12-Sep	8.870532	8.929799	9.011289	8.961405	8.885216	8.762906	8.923964	8.957102	8.804229	9.081121	8.881154	8.771912	9.064964	9.121857	9.10876	8.617059	8.891399	8.968286	8.568542	8.589836	9.08348	9.013472	9.0340185	8.88229	9.037894	9.018069
14-Sep	5.5482035	5.7270255	5.8413033	5.604114	5.8620596	5.516319	6.118252	6.623693	5.9310994	5.721622	5.6041656	5.853907	5.9871287	5.9989576	5.8997927	5.6232057	5.8947196	5.9309916	5.874615	5.798512	5.755045	5.8995705	5.9396954	5.60235	5.9541564	6.179804
2-Mar	11.05524	11.321745	11.558698	11.538601	11.045538	10.452058	11.652696	11.837323	11.567289	11.720282	11.397338	10.878919	11.9985075	11.394973	11.534756	11.007413	10.778781	11.451265	10.640992	11.148636	11.880944	11.597881	11.289299	11.307178	11.669333	11.867892
2-Sep	11.829185	11.770673	11.84098	11.791589	12.119263	12.172082	11.80643	11.770642	11.788736	11.682921	11.783352	11.8004465	11.75017	11.804116	11.803892	12.183317	12.343151	11.920237	12.099217	12.10597	11.800997	11.819962	11.810232	11.780525	11.781576	11.744184
