Row,XL1,XL2,XL3,XL4,XL5,XL6,XL7,XL8,XL9,XL10,XL11,XL12,XL13
A4GNT,0.025849686,-0.007821222,0.01503708,-0.002027784,-0.014730745,0.007337946,-0.017273455,-0.011173882,0.005674963,0.012333454,0.002426949,-0.040379874,-0.000285897
AADAT,0.023598585,-0.010804398,0.032372713,0.026107967,-0.027761567,-0.005599411,-0.019876127,-0.003077323,-0.008503122,-0.001287282,-0.005545928,-0.004595809,-0.003234556
AARS2,0.026048005,-0.005136297,-0.00589055,-0.026106389,-0.007796019,-0.01190501,0.0083393,-0.005736881,0.004643734,-0.007342171,0.006900384,-0.008123187,-0.027908339
AASS,-0.01517535,-0.012248381,0.013889389,-0.058169015,0.029779878,0.012544719,-0.015350322,0.017771354,-0.014110196,-0.018597558,0.087472881,0.0056068,-0.041168408
ABCA5,0.023184896,-0.008225013,0.001967541,0.014018284,0.022376756,0.024573687,-0.012883282,0.03255396,0.013300751,-0.003289837,-0.01597544,-0.038533533,0.019502829
ABCB4,0.008748292,0.055635087,-0.020643476,0.011522014,0.000927671,-0.040562981,0.004767699,-0.010379187,0.053967048,0.036398919,-0.008275865,-0.004099797,-0.003562335
ABCD4,0.021434377,-0.003085084,0.006206201,-0.036175877,0.016892862,0.017178995,0.037612811,-0.020614383,0.035805447,-0.017990202,0.002200709,0.012045769,0.016200306
ABCF3,0.003169581,0.043238563,0.010646749,0.020723016,0.075761503,0.001658517,0.040219583,0.018418272,-0.005076388,0.030531644,0.017578119,-0.035810451,-0.001719068
ABCG2,0.022934119,0.026977619,-0.014372836,0.016855097,-0.003908567,0.003165,-0.010542455,-0.011491233,-0.009938685,-0.016588627,0.037519382,0.008329347,-0.027718803
ABCG4,-0.0116095,-0.038478477,-0.047184156,-0.03480635,-0.033447808,0.012102785,0.02126139,0.002744694,0.021124069,0.006270096,0.055027483,-0.024165176,0.014973726
ABHD3,0.014961251,0.011291354,-0.011449432,-0.022286406,-0.007200762,0.020971402,0.001394941,0.063776364,0.020699554,-0.022772146,-0.001417712,0.005904521,0.108332977
ABHD6,0.022118688,-0.004541944,0.013537289,0.011851147,0.025613399,0.030007386,0.005661369,-0.048137622,-0.000585479,-0.01055299,0.023992742,0.062018471,0.019996761
ABL1,0.024308339,-0.027551142,-0.008713338,0.003969636,0.018702823,-0.012853473,0.011545245,0.013241012,-0.010316481,-0.023750855,0.027389372,0.019506921,-0.021503745
ABL2,0.025907954,-0.010566949,-0.004355203,-0.000768821,-0.003853477,0.021552636,0.012547854,0.014740217,0.026316521,0.0253126,-0.004642761,0.006097963,0.009855775
ACAD8,0.008392726,0.029218657,0.02577838,0.012087995,0.010188061,0.063728377,0.026144998,-0.022863378,0.008765304,0.009776591,-0.009965007,-0.058034375,0.025521738
ACADL,-0.0225924,-0.027548642,-0.020204976,0.009901365,0.01602906,0.006880226,0.020174239,-0.029479303,0.01219666,0.03694522,-0.019457484,-0.016172797,-0.020611298
ACCS,0.02467247,0.000344072,-0.009759154,-0.001591998,-0.002623071,-0.008733013,-0.001905548,0.003052861,0.026737009,0.003754084,-0.00229034,-0.008648103,-0.020582748
ACOT11,0.023650559,0.014242884,0.023967253,-0.005268872,0.04019134,-0.006498899,0.007581174,0.006732428,0.02767314,-0.007798528,0.001485002,0.003290377,0.008810686
ACOX3,-0.018737811,-0.008338424,-0.032361255,-0.004099463,0.04254797,-0.035308068,-0.020594419,-0.019637768,-0.014704894,-0.012459957,0.039832701,0.048013462,-0.019669724
ACP2,0.024504763,0.003976156,0.005607985,0.019110325,0.003559407,0.000728781,-0.020112073,-0.019510571,-0.004708607,-0.05306778,-0.001944635,-0.016917543,0.022530986
ACSL1,-0.025966415,0.0027953,0.003719457,0.01848951,0.024617694,0.015295966,-0.009775376,0.006617362,0.010566835,0.00717327,-0.016769827,0.01013092,-0.019052418
ACSS2,-0.019101557,0.006076469,0.032424639,0.031967145,0.032133046,0.011047413,-0.028607708,-0.045350115,-0.007996139,0.003093664,0.011692759,0.007160119,-0.024920026
ACTL7A,0.021873324,-0.006107342,0.008279676,0.018717943,-0.05298501,-0.019785545,-0.01882249,-0.028446925,-0.003101263,0.00169739,-0.03497422,0.008691136,0.015982971
ACTL9,-0.002957468,-0.046625448,-0.015417164,-0.013782473,0.004695471,0.015801503,0.029476636,-0.0884465,0.052696909,-0.013197715,0.008360907,-0.023189316,-0.011950343
ACTRT2,0.017419246,0.01754967,0.015145046,-0.026202688,0.013031551,0.05310207,-0.002232361,0.029693399,-0.000504389,-0.034276405,-0.060019954,-0.017324589,0.030246066
ACVR1,0.026640072,-0.019917254,0.012488398,-0.005242239,0.004163094,-0.008168993,0.000305239,-0.005152076,-0.003077073,0.005461645,-0.001868166,0.002109615,0.006292826
ACYP1,-0.023532807,-0.002369799,0.03772119,0.021774712,0.018523063,-0.005456593,-0.006066672,0.005139542,-0.030676477,0.010172747,0.00794343,0.008035554,-0.013443428
ADAM17,0.024368264,-0.011075305,0.026971019,-0.00329128,-0.00029712,-0.025752646,-0.015356137,0.014332302,-0.021995038,-0.028186879,0.013653481,0.008245212,-0.022235515
ADAM18,0.021947544,-0.003538944,0.008136781,0.038223893,-0.014277619,0.002092768,-0.018202274,-0.002910709,0.029306879,0.00989479,0.067259778,-0.015988564,-0.005812645
ADAM9,-0.02021122,0.003238771,0.007383252,0.018358999,-0.046335425,0.003490017,-0.010612726,-0.007375651,0.045659014,0.001630091,-0.003249575,0.009554242,0.036970348
ADAMTS12,0.026393039,-0.02058624,0.004632735,-0.00994033,0.004312974,0.010211269,-0.016371057,-0.005348668,0.005181028,-0.002975156,0.001451964,0.012855473,-0.009608461
ADAMTS2,0.025996693,-0.024166117,-0.003371278,-0.000121538,0.005347932,0.020664088,-0.002825781,0.004338269,-0.001742319,-0.003161471,0.00571806,0.018599623,-0.003990968
ADAMTS3,0.026621337,-0.003481932,0.013292061,0.010026488,0.002322552,-0.021585757,-0.000235466,0.007979232,-0.005597123,-0.013206108,-0.01755377,-0.005073225,-0.001839292
ADAMTS4,0.025377638,-0.009219664,0.023060003,-0.013719798,8.74584E-05,-0.017394812,-0.005849992,-0.009446258,-0.009113341,-0.024851569,0.010478195,0.009327789,-0.019383261
ADAMTS6,0.025568605,0.007087358,-0.006050433,0.016057171,0.015405979,-0.014299226,0.033328303,-6.00774E-05,-0.00303716,0.002554348,0.020510027,-0.004986002,0.032563712
ADAMTSL1,0.024297246,-0.001217111,0.003382251,0.015591308,0.014726718,-0.04490766,-0.007741837,-0.002790713,-0.005615547,-0.020846849,0.026206396,-0.038076362,-0.018393941
ADARB1,0.021581772,-0.004632483,-0.01786182,-0.034033512,0.030558018,0.015140058,0.039192774,0.014322909,-0.005196001,-0.009421224,0.019255545,0.023426254,-0.024812919
ADAT3,0.024928372,-0.015896271,-0.000163215,-0.002711381,0.009359699,-0.036575144,0.001892015,-0.00579218,-0.026240272,0.014303798,0.021352304,-0.012569731,-0.029104238
ADCY3,-0.013919166,-0.039863193,-0.027335446,-0.015817638,-0.033999205,0.008173873,0.041261199,0.008765374,0.038752142,0.035030608,0.02620712,0.041713458,-0.038534351
ADGB,0.023024383,-0.014445108,-0.007761289,-0.011158067,-0.014139006,-0.007018736,0.014374459,0.023286267,0.003019944,-0.035804415,-0.0562258,-0.024139982,0.001117094
ADHFE1,-0.021335112,-0.01204413,-0.027407769,0.000483972,-0.008117242,0.04297763,0.002964994,-0.022863156,-0.001281936,0.045573008,-0.017277542,-0.032441589,-0.044055976
ADIPOR2,-0.015875089,-0.022623062,-0.013912777,0.071385645,-0.014082558,-0.015178856,0.001800735,-0.014797549,0.013470643,0.037307127,-0.03279699,-0.020291814,0.008358878
ADPGK,-0.016103974,-0.018504269,0.061161957,-0.019408698,0.024697521,-0.003079086,-0.00869369,0.034551125,0.002026272,0.018331318,0.001359461,-0.030401294,0.006245457
ADPRM,0.025587779,-0.013832564,0.00033942,0.017499306,-0.02097832,-0.013179411,-0.013566054,-0.001349717,0.021994837,0.010355734,-0.010213735,-0.002944033,0.009472106
ADRA2A,0.025452287,0.001339261,0.006313625,-0.009283962,0.022993934,-0.02772215,0.020020053,0.011441077,0.007647634,-0.00509403,0.002476391,-0.011483564,0.00932091
ADRB3,-0.018973186,-0.021063624,-0.017948186,-0.030079908,-0.011416013,0.052024232,-0.031346309,0.001430922,0.026414488,0.004861124,0.018460766,0.008062598,-0.022732359
ADSL,-0.003384946,-0.061544957,0.015726761,0.005198461,0.006332347,-0.018487809,0.042794186,-0.01999053,-0.039438495,-0.015681127,-0.033482872,-0.009155409,0.004230994
AEBP1,0.027084085,-0.016314788,-0.008554359,-0.002824156,0.003361793,0.008257122,-0.000886205,-0.004967277,-0.001212741,-0.009144359,0.00605142,0.007810618,-0.003901923
AFF3,0.016535644,-0.001298168,-0.024037959,0.022908553,-0.000666137,0.060499991,-0.031975992,0.049857127,-0.052697013,0.022716824,0.012568049,0.025973277,-0.020649016
AFF4,0.024593643,-0.014505445,0.01810127,-0.014507189,0.00501942,0.000953569,0.001019632,0.044885703,-0.002778738,0.029943121,-0.005148104,-0.004304657,-0.000174665
AGAP3,0.023018922,0.009017359,-0.009861374,0.002463137,0.034432632,0.025712262,0.000686466,-0.002284748,0.018970077,-0.055965946,-0.005991388,0.024507539,0.000672016
AGMO,-0.01786085,-0.002638724,-0.023433227,0.008409507,-0.048051383,-0.016824873,-0.012519898,0.02085887,0.064120517,0.019803657,0.010437207,0.007845442,-0.041285169
AGPAT4,0.025350225,-0.000512601,-0.031267279,-0.012992561,-0.006566665,-0.007305824,0.005662975,0.003424559,0.017174733,0.015408255,-0.004846543,0.006893748,-0.015593336
AGTR2,0.026229163,-0.008744364,-0.012410887,0.003248283,0.009521072,0.025187634,-0.010676016,0.004897353,0.007691417,-0.006735163,-0.005459841,0.004556996,0.015716039
AGXT2,-0.002812254,-0.056063147,-0.007510514,0.04649962,0.028372329,-0.001874855,0.028252356,-0.03070694,-0.044295866,-0.040245885,-0.005270827,-0.005815537,-0.035021463
AHCYL1,0.014899072,0.012018903,-0.03759486,-0.005859246,0.04914823,0.028483767,0.022740785,0.017757375,0.010453172,0.033927512,0.028093606,0.047263894,-0.02132372
AHNAK,0.025027963,-0.030767296,-0.010099555,0.00266513,-0.005725677,0.014727372,0.011994978,-0.001517194,0.001272022,0.006961374,-0.000272051,0.003826554,-0.001934684
AKR1C3,-0.010908339,-0.015512981,-0.017662829,-0.074133875,-0.008812787,-0.004441779,-0.028096518,0.0042463,0.002685961,-0.010406316,0.027252659,0.005369605,-0.071347785
AKR1E2,0.023948334,0.000264594,0.010401523,-0.01121528,-0.027591998,0.000832855,0.015887203,-0.016023979,0.016484127,0.00511066,0.017919364,-0.043430157,0.028404808
AKT3,0.020817041,0.025609326,0.020532916,0.005202508,-0.001638086,0.032432671,0.026049441,0.012387449,0.014752234,0.020374439,-0.006514607,0.000466598,0.023538673
AKTIP,0.017456921,0.017782351,0.037281519,0.031656626,0.025961089,0.021941036,0.011388848,0.020485142,-0.019591068,0.051472325,-0.003444224,-0.046958901,0.035663856
ALAS1,-0.019258176,-0.007707287,0.04972441,-0.03107575,-0.005496625,0.028345162,0.030049953,-0.019393305,-0.000940435,-0.012888937,-0.004972822,-0.022144848,0.012915171
ALCAM,-0.001576612,-0.048254622,0.027731114,0.034227978,-0.041474382,-0.021911204,-0.00584962,-0.067115651,0.019790974,-0.025636745,0.024612095,0.018789753,0.020603268
ALDH2,-0.023453568,-0.004555681,0.028972932,0.013453376,-0.003274946,0.040996753,0.027898434,0.017436587,-0.004454448,-0.005716697,0.019953118,-0.018723224,0.001446166
ALDH7A1,0.025636344,-0.016057681,0.009798832,0.009566404,0.017577534,0.008987449,0.01329845,-0.011843543,-0.014049047,-0.01564108,0.012331843,-0.011911121,0.005104881
ALG14,0.024766362,-0.005615314,0.008970544,-0.017365692,-0.017433711,-0.013658395,0.010394885,-0.002009692,0.033213337,-0.018215587,0.004225309,-0.026260716,-0.037783652
ALG5,0.025710737,-0.003170039,0.008572365,-0.002266883,0.011869136,-0.016315588,0.023965935,0.01832822,-0.005408006,0.025266536,-0.021896406,0.007724547,-0.02172428
ALOX5AP,-0.01317017,-0.032098583,-0.02066884,-0.016187279,-0.021667924,0.008347182,0.033410147,0.020945698,-0.038111198,-0.032697432,-0.047741607,-0.016514356,-0.037512517
ALPP,0.016418722,0.004901242,-0.006463716,0.02232441,-0.052632224,0.046736661,0.031078242,-0.044641396,-0.036556587,0.046542852,-0.016618594,-0.018313512,-0.010605275
ALX3,0.023435645,-0.011497551,-0.013091342,-0.02830714,-0.011907194,0.007543697,-0.00077045,0.027332794,-0.025619897,0.008883973,-0.045490328,0.013776554,0.006200526
AMBN,0.025975687,-0.008546676,0.017458167,0.011716068,-0.004063229,0.013986091,0.002209259,-0.001247959,0.010128666,-0.003837924,-0.007381566,0.011870971,0.001746108
ANAPC4,0.022918292,-0.02229123,0.015108466,0.003460027,-0.02130523,0.013005217,0.004213445,0.018673989,0.012720137,-0.002237002,0.014803411,-0.026630856,-0.000707064
ANG,0.025125691,-0.005792357,-0.001447483,-0.008376551,-0.028387836,0.002116408,-0.017613768,-0.019411135,0.0235326,-0.016807854,-0.010618946,0.030254135,0.008798592
ANGEL1,0.024325594,-0.006820716,0.01798996,-0.008940992,0.002611798,-0.008498708,-0.0110476,0.022628104,0.021175164,-0.013829647,0.011304938,-0.028304608,-0.000549433
ANGPTL1,0.027094313,-0.009981063,-0.003181726,-0.000649046,-0.004311806,0.005166426,0.014371503,-0.002922371,-0.010621713,0.0001723,0.015811912,0.02004219,-0.003531576
ANGPTL2,0.026665772,-0.006790104,-0.011690183,0.001558293,0.009840197,0.008672957,0.022830294,0.00399327,-0.006433159,0.019144553,-0.003711102,0.008409402,0.001433768
ANKIB1,0.023706144,-0.001148738,0.031831686,-0.001896637,0.018863953,-0.037380463,-0.01110877,0.024297606,-0.001942473,0.005501009,-0.004587712,-0.004573755,-0.007141077
ANKRD24,-0.020560607,-0.00228693,0.029257374,-0.057187575,-5.91056E-05,0.013098682,0.032195172,0.014186376,0.010726598,1.93733E-05,-0.007803501,-0.022526761,0.020551743
ANKRD29,0.026670029,0.002698115,0.015155056,0.002517936,-0.013547299,0.002181701,0.012390573,-0.00232978,0.012168631,-0.001029293,0.015622483,0.025373367,0.006014081
ANKUB1,-0.021706129,-0.015423348,0.006994613,-0.046586094,-0.010774738,0.016782433,0.025492556,0.027923516,0.011942811,0.019226471,0.009423375,-0.035447101,-0.016728285
ANO6,0.023588599,-0.012991403,-0.013601357,-0.017675077,0.025688513,0.024590807,0.00893137,0.024086103,0.019185675,-0.015677461,-0.034837974,0.011540333,0.039835706
ANO9,0.02633524,0.005189237,-4.16192E-05,-0.017610549,-0.015473023,0.017059849,-0.000607306,-0.005216024,0.00777752,0.005910233,-0.009620794,-0.009888572,0.006245147
ANTXR1,0.027250565,-0.008366541,0.000880624,0.000695178,0.005199498,0.002236332,0.015866836,0.006994658,-0.008624832,0.000542799,0.009906492,0.023547075,0.004676954
ANXA4,0.026392991,-0.000897507,-0.005504907,-0.009614549,0.005696873,0.026383763,-0.004330773,0.010370487,0.017939686,0.009187972,0.004348554,-0.006464518,0.004722919
ANXA9,0.025395805,0.008992656,-0.000457829,0.006098405,-0.001855295,0.001864321,-0.029104424,-0.018220321,0.031192223,0.002636153,0.030003005,0.002165123,-0.007046076
APBB1,0.023170009,0.008223089,-0.020664112,0.018226826,0.013716622,0.047758982,-0.003265092,-0.007264342,0.025347115,0.016709694,-0.002091032,-0.000447986,0.031563486
APBB3,0.026092854,0.008170929,0.006109745,-0.017318562,0.01874561,0.022454203,0.001074428,0.012447499,0.000733311,-0.007445879,0.011708292,-0.010481211,-0.01374441
APCS,0.012122535,0.00886183,0.022177575,0.002990775,0.025884372,0.024214865,0.080552097,0.012152102,0.01845409,-0.047544305,0.033573745,-0.027263364,-0.024849683
APLNR,0.025876575,-0.018356527,0.002391395,0.007631113,0.020793251,0.006168952,-0.014805873,0.007395616,0.013357793,-0.004322758,0.008367991,0.006658004,-0.007441349
APOB,-0.021921625,-0.000254463,-0.014855606,-0.031489714,0.036251271,-0.001013269,-0.016758803,0.020142365,-0.002473757,-0.035548736,-0.020511993,0.041453028,-0.023925191
APOBEC3B,-0.020511987,-0.017691009,-0.021513107,-0.010888892,0.038639915,-0.002235562,0.02432981,0.026099293,-0.04609227,-0.013673553,-0.015795835,0.005050374,-0.003660897
APOC4,-0.016253455,-0.034174198,-0.007871798,0.046035174,0.013316614,-0.006833093,0.000124692,-0.001986229,-0.011817847,-0.018107659,-0.042679667,-0.025522635,-0.000610708
APOD,0.023454501,0.012337159,-0.010439877,0.032597852,0.006738972,0.020976769,-0.001936301,0.000984442,-0.014807318,-0.03032617,0.048507238,0.030466003,-0.014177904
APOL2,0.017275009,0.034137905,0.0052345,-0.025368516,-0.026315304,0.032191101,-0.018165499,0.019288517,-0.003733409,-0.007490048,0.005470719,0.028003156,0.053457944
AQP7,-0.015546295,-0.028397703,0.012905064,-0.04953994,0.021717494,-0.002778259,-0.018632412,0.022352579,0.019019309,-0.004494992,-0.043690036,-0.063534278,-0.040239442
ARF6,-0.019030879,-0.010189724,-0.009971525,-0.012130213,0.009596295,-0.016257199,0.04609323,0.029522088,0.076276116,-0.001063994,0.016740869,0.00743959,-0.055906969
ARHGAP24,0.025606514,-0.025855256,0.014322185,-0.001167789,-0.010321355,0.002915273,-0.000417958,0.013718051,0.00296966,0.008357543,0.001972634,0.017877902,-0.008795116
ARHGAP29,0.026578055,-0.015636492,0.008098951,0.008851268,-0.000864439,-0.008948655,-0.015094143,0.000367488,0.012807503,-0.002814982,0.009094779,0.010992403,-0.002418579
ARHGAP30,-0.02489415,0.010867197,0.032148415,-0.002381102,-0.005008687,0.018053801,0.019135434,0.013112281,-0.004029694,-0.006185008,0.018438019,0.001333213,-0.008264375
ARHGAP31,0.025391083,-0.021260328,0.021285391,0.004836968,0.005006408,0.017858344,0.010410787,-0.003336229,0.00865145,-0.001518912,-0.004138297,-0.002556828,-0.000564306
ARHGAP4,-0.02425371,0.00879105,0.034133884,-0.000554826,-0.002983845,0.024077368,0.017928884,0.016878657,-0.003653238,-0.005700914,0.026472063,0.009514951,0.014161373
ARHGAP42,0.027366476,-0.011963446,0.004405052,-0.006087158,0.006644279,-0.001511235,0.007063025,0.004424388,0.009681915,-0.000251074,-0.006343293,0.00633545,-0.001653381
ARHGAP9,-0.024435602,0.011040952,0.031601265,-0.000665816,0.008997825,0.020962289,0.026691661,0.015662185,0.001911984,-0.014478285,0.015177491,-0.011391599,0.005895589
ARHGDIB,-0.015439038,-0.021311026,-0.038432669,0.008772413,0.05626083,0.01412183,0.02197853,-0.007921274,0.008814773,-0.013409242,0.01982652,-0.017443847,-0.026173313
ARHGEF12,0.019984341,0.005291603,-0.033927115,0.019005526,0.039881313,-0.021291413,-0.01786368,0.026249128,0.023589544,0.008902416,-0.027479498,-0.026584476,-0.026842155
ARHGEF26,-0.020380917,-0.003776994,0.002488046,-0.047697125,0.025121309,-0.001279446,0.015459681,0.023166097,0.04762696,-0.026620145,-0.002272402,-0.002916985,-0.043997534
ARHGEF6,-0.020163495,-0.001833086,0.03669187,-0.001607676,-0.01829242,0.037440869,-0.013152161,0.037930409,-0.028032713,-0.055634844,0.00532842,-0.012461219,-0.000679385
ARHGEF7,0.015110225,0.042516194,0.006934358,0.004367169,0.047258112,0.019226859,0.044921478,0.007066997,-0.020916038,-0.007724338,-0.040965098,0.030824423,-0.025752153
ARID4A,-0.013403927,-0.011877886,0.053038865,0.008912189,0.016933481,-0.014054701,-0.072888448,0.02996806,-0.008520058,0.00032973,0.015617949,-0.005587874,0.004456445
ARID5B,0.026040868,-0.003446545,-0.016718523,-0.009260091,-0.004238874,-0.012738846,0.0174604,0.007767371,0.007301339,-0.019572432,0.013169304,-0.011916902,0.006181775
ARL14EP,0.023088012,-0.002014736,0.039553379,-0.015890464,-0.00428776,-0.005611874,0.003707448,0.031132443,0.013467333,-0.01234487,-0.011040663,0.011508303,0.016642392
ARL15,0.024723653,0.007927724,0.015088331,-0.019860268,0.02533765,-0.033006497,0.012362037,-0.00576346,0.013352825,0.007008236,0.004901618,0.01506258,-0.002686734
ARL4C,0.024605501,-0.002123539,-0.009159367,0.014746082,-0.032025775,-0.03466159,0.002516067,-0.017612399,-0.004144206,-0.025078152,-0.012675572,-0.009795266,0.00832107
ARL5A,0.023756123,-0.00987584,-0.0016592,0.03055915,-0.00906866,-0.002188306,-0.024447855,0.045973367,0.003954794,-0.02085201,0.012740373,-0.010884205,-0.012152277
ARL6IP1,-0.024676056,-0.001072452,0.010981404,0.014345053,-0.039682198,-0.013392599,-0.000458924,-0.010565189,-0.005162942,-0.014897277,-0.033476448,0.004193714,-0.008134914
